PHOX2B	SOX10	PRRX1	GATA3	SNAI2	HAND2
-5.728861	6.590745	7.536925	-19.503621	5.716877	-11.785516
5.038370	-14.473392	-4.575154	-1.558341	-11.139760	5.568375
-5.282310	-10.167121	-4.574749	-13.322489	-11.139760	-11.785516
11.320819	-15.806683	-4.575155	4.267435	-11.139760	5.589315
9.906259	-11.004200	-6.619806	7.231494	-9.700598	6.416939
-2.098319	7.024776	5.606774	-12.690323	6.421020	-10.321544
-1.827578	-0.021140	-2.201472	-7.186070	-5.302906	-10.241237
3.765206	2.267631	5.185954	-8.524987	6.179528	-4.830331
7.925159	1.550194	5.883818	2.233597	4.970569	6.424519
8.726891	-11.630309	-3.523749	6.326322	-7.648389	6.458558
0.823632	-7.498999	-3.523749	-1.033080	-7.647572	-2.778507
-4.125620	6.270859	5.902188	-7.136482	5.377611	-9.603077
1.056705	-9.202647	-5.534187	-7.013644	-8.225572	-7.933478
-4.852932	-9.099043	-5.534166	-7.882363	-8.220966	-11.774097
9.681992	-14.515360	-5.534321	5.439484	-8.287729	6.823422
1.720390	4.138224	7.348437	-12.498855	6.831130	-7.499685
-6.044297	5.399444	6.168026	-9.799528	6.527155	-11.818899
10.592055	-11.100053	-4.629191	7.378709	-6.874893	5.795131
11.329534	1.266288	5.691619	4.854578	6.523300	5.795091
-4.674208	-7.049040	-4.434095	-6.429398	-6.451748	-11.818268
11.160978	-15.086035	-4.145728	7.577964	-8.852973	7.849423
-0.108875	-11.278696	-4.145725	-9.054277	-8.851779	-9.364341
15.224333	3.224412	4.651917	1.623672	9.114841	7.849422
5.246329	3.655450	4.651946	-10.774468	9.114968	-0.226870
-4.409546	-8.435370	1.538510	-10.541878	-11.013050	-4.305797
8.465587	-13.765483	1.538510	6.237760	-11.013050	7.456763
-2.277818	6.003756	9.592743	-14.620064	5.210097	-4.028755
3.103335	0.103030	7.130857	-9.514148	4.940198	-2.395730
4.912554	-14.786275	-5.263999	7.703762	-12.893363	6.009448
-10.130913	-12.353700	-5.263999	-5.607502	-12.893363	-8.419123
-9.152015	5.308228	4.276473	-9.102146	4.754319	-8.425170
